DataYear,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Latitude,Longitude,City,State,YearsENERGYSTARCertified,SiteEnergyUse(kBtu),SiteEnergyUse(kBtu)_log1p,PropertyGFATotal_log1p
2016,NonResidential,Hotel,1927,1.0,12,88434,88434,0,Hotel,Hotel,88434.0,,,,,47.6122,-122.33799,Seattle,WA,,7226362.5,15.793246493880629,11.390023097868896
2016,NonResidential,Hotel,1996,1.0,11,103566,88502,15064,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,47.61317,-122.33393,Seattle,WA,,8387933.0,15.942304802589588,11.547974025246631
2016,NonResidential,Hotel,1969,1.0,41,956110,759392,196718,Hotel,Hotel,756493.0,,,,,47.61393,-122.3381,Seattle,WA,,72587024.0,18.100296744814614,13.770629294080043
2016,NonResidential,Hotel,1926,1.0,10,61320,61320,0,Hotel,Hotel,61320.0,,,,,47.61412,-122.33664,Seattle,WA,,6794584.0,15.731636529382916,11.023877640745798
2016,NonResidential,Hotel,1980,1.0,18,175580,113580,62000,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,47.61375,-122.34047,Seattle,WA,,14172606.0,16.466821574984518,12.075855753873482
2016,Nonresidential COS,Other,1999,1.0,2,97288,60090,37198,Police Station,Police Station,88830.0,,,,,47.61623,-122.33657,Seattle,WA,,12086616.0,16.307609365403174,11.48544120936798
2016,NonResidential,Hotel,1926,1.0,11,83008,83008,0,Hotel,Hotel,81352.0,,,,,47.6139,-122.33283,Seattle,WA,,5758795.0,15.566238983044943,11.326704314635162
2016,NonResidential,Other,1926,1.0,8,102761,102761,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,,47.61327,-122.33136,Seattle,WA,,6298131.5,15.6557637188467,11.540170913860424
2016,NonResidential,Hotel,1904,1.0,15,163984,163984,0,Hotel,Hotel,163984.0,,,,,47.60294,-122.33263,Seattle,WA,,13723820.0,16.434643640030767,12.007530239208668
2016,NonResidential,Hotel,1969,1.0,11,153163,133884,19279,Hotel,Hotel,133884.0,,,,,47.60695,-122.33414,Seattle,WA,,16016644.0,16.589139051954007,11.9392645217297
2016,NonResidential,Hotel,1998,1.0,25,333176,272015,61161,Hotel,Hotel,336640.0,,,,,47.60713,-122.33323,Seattle,WA,,26941110.0,17.109163967888286,12.716429159281263
2016,NonResidential,Hotel,1928,1.0,9,65009,65009,0,Hotel,Hotel,65009.0,,,,,47.60699,-122.33346,Seattle,WA,,6596057.5,15.70198283163382,11.082296383198514
2016,NonResidential,Hotel,1980,1.0,33,315952,258352,57600,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,,47.60809,-122.33212,Seattle,WA,,22325364.0,16.921234033977285,12.66334874732981
2016,NonResidential,Hotel,1922,1.0,11,92190,66990,25200,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,,,47.60755,-122.33244,Seattle,WA,,10750010.0,16.190417335793235,11.431617790897278
2016,Nonresidential COS,Other,2004,1.0,11,412000,355000,57000,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,47.60649,-122.33297,Seattle,WA,,18588860.0,16.738073088320842,12.928781055513184
2016,NonResidential,Other,1930,1.0,6,103911,103911,0,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,47.60546,-122.33279,Seattle,WA,,9956396.0,16.113725817126603,11.55129966608712
2016,NonResidential,Hotel,1983,1.0,28,416281,331281,85000,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,,,47.60681,-122.33078,Seattle,WA,,33556756.0,17.328748801997715,12.939118194198793
2016,NonResidential,Mixed Use Property,1907,1.0,5,57452,57452,0,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,47.60515,-122.33159,Seattle,WA,,7606084.5,15.844459208532587,10.95872250123467
2016,NonResidential,Hotel,1916,1.0,10,104352,104352,0,Hotel,Hotel,104352.0,,,,,47.60376,-122.33194,Seattle,WA,,10154608.0,16.13343824905496,11.555534661493144
2016,NonResidential,Other,1916,1.0,10,540360,540360,0,Courthouse,Courthouse,537150.0,,,,,47.60265,-122.33051,Seattle,WA,,44984468.0,17.621827854829043,13.199992713700013
2016,NonResidential,Other,1985,1.0,19,385274,385274,0,Other,Other,385274.0,,,,,47.60378,-122.32842,Seattle,WA,,47859812.0,17.683786733207448,12.861712644003578
2016,SPS-District K-12,K-12 School,1961,1.0,2,56228,56228,0,K-12 School,K-12 School,58916.0,,,,,47.54576,-122.26853,Seattle,WA,,1539478.5,14.24695493024634,10.937187917027094
2016,NonResidential,Hotel,2001,1.0,6,88592,58006,30586,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,,,47.65959,-122.31755,Seattle,WA,,3663534.5,15.113939222722186,11.391808126699964
2016,NonResidential,University,1928,1.0,7,126593,126593,0,College/University,College/University,125000.0,,,,,47.61816,-122.33629,Seattle,WA,,11343686.0,16.24417193569497,11.748740394204184
2016,NonResidential,Other,1930,1.0,2,67224,67224,0,Automobile Dealership,Automobile Dealership,67224.0,,,,,47.615,-122.33081,Seattle,WA,,1310236.625,14.08571907185736,11.115800481137065
